player,nation,pos,squad,born,90s,cmp_total,att_total,cmp_perc_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_perc_short,cmp_medium,att_medium,cmp_perc_medium,cmp_long,att_long,cmp_perc_long,ast,ppa,crs_pa,prog,year,league 
Jan Thielmann,de GER,"FW,MF",Köln,2002,2.2,43,63,68.3,756,331,24,28,85.7,13,21,61.9,5,10,50,2,1,1,4,2020,Germany
Marcus Thuram,fr FRA,FW,M'Gladbach,1997,3.4,71,103,68.9,979,243,49,67,73.1,17,24,70.8,3,4,75,0,2,0,8,2020,Germany
Corentin Tolisso,fr FRA,MF,Bayern Munich,1994,2.4,156,173,90.2,3413,879,53,59,89.8,61,63,96.8,38,44,86.4,0,2,1,17,2020,Germany
Ömer Toprak,tr TUR,DF,Werder Bremen,1989,1.2,108,115,93.9,2326,532,31,34,91.2,58,58,100,19,23,82.6,0,0,0,4,2020,Germany
Jordan Torunarigha,de GER,DF,Hertha BSC,1997,2,112,122,91.8,2768,813,12,15,80,76,77,98.7,24,29,82.8,0,0,0,12,2020,Germany
Almamy Touré,ml MLI,DF,Eint Frankfurt,1996,4.2,112,174,64.4,2075,1144,54,73,74,39,56,69.6,17,29,58.6,0,9,6,20,2020,Germany
Lucas Tousart,fr FRA,MF,Hertha BSC,1997,5.6,140,175,80,3181,751,52,63,82.5,51,60,85,33,44,75,0,2,1,10,2020,Germany
Ibrahima Traoré,gn GUI,FW,M'Gladbach,1988,0.1,3,8,37.5,25,17,2,4,50,0,0,,0,1,0,0,0,0,0,2020,Germany
Kevin Trapp,de GER,GK,Eint Frankfurt,1990,6,186,246,75.6,5808,4174,43,44,97.7,66,67,98.5,76,134,56.7,0,0,0,0,2020,Germany
Christopher Trimmel,at AUT,DF,Union Berlin,1987,4.4,185,257,72,3372,1213,91,103,88.3,63,69,91.3,29,75,38.7,3,6,6,13,2020,Germany
Tuta,br BRA,DF,Eint Frankfurt,1999,1.3,39,52,75,805,402,15,19,78.9,16,20,80,8,12,66.7,0,0,0,3,2020,Germany
