player,nation,pos,squad,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_vs_dribbles,att_vs_dribbles,tkl_perc_vs_dribbles,past_vs_dribbles,press,succ,percent,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks,sh_blocks,shsv_blocks,pass_blocks,int,tkl_and_int,clr,err,year,league
Taiwo Awoniyi,ng NGA,FW,Union Berlin,1997,2,1,1,0,1,0,0,3,0,3,25,7,28,2,12,11,2,0,0,2,0,1,1,0,2020,German
Leon Bailey,jm JAM,"FW,MF",Leverkusen,1997,3,5,4,2,3,0,5,8,62.5,3,33,10,30.3,7,12,14,4,0,0,4,3,8,1,0,2020,German
Ridle Baku,de GER,DF,Wolfsburg,1998,3.2,11,5,7,3,1,3,7,42.9,4,45,10,22.2,26,12,7,14,2,0,12,5,16,12,0,2020,German
Ridle Baku,de GER,DF,Mainz 05,1998,2,5,2,3,2,0,0,5,0,5,22,6,27.3,11,9,2,5,0,0,5,4,9,5,0,2020,German
Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,1998,1.2,4,4,0,2,2,0,3,0,3,24,10,41.7,4,14,6,1,1,0,0,2,6,2,0,2020,German
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,2000,2,14,7,8,5,1,2,3,66.7,1,43,11,25.6,17,22,4,4,1,0,3,1,15,3,0,2020,German
Jacob Barrett Laursen,dk DEN,DF,Arminia,1994,1.4,3,1,1,2,0,2,3,66.7,1,19,7,36.8,11,8,0,5,0,0,5,2,5,3,0,2020,German
Oliver Baumann,de GER,GK,Hoffenheim,1990,5,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,German
Julian Baumgartlinger,at AUT,MF,Leverkusen,1988,2.4,8,6,3,5,0,2,4,50,2,28,13,46.4,5,23,0,4,0,0,4,0,8,6,0,2020,German
Christoph Baumgartner,at AUT,"FW,MF",Hoffenheim,1999,4,7,5,4,2,1,1,9,11.1,8,104,31,29.8,32,49,23,6,0,0,6,2,9,2,0,2020,German
Noah Joel Sarenren Bazee,ng NGA,MF,Augsburg,1996,0.1,0,0,0,0,0,0,0,,0,3,2,66.7,0,3,0,1,0,0,1,0,0,0,0,2020,German
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,1994,1.8,1,1,1,0,0,1,1,100,0,25,8,32,4,6,15,2,0,0,2,0,1,3,0,2020,German
Sheraldo Becker,nl NED,"FW,MF",Union Berlin,1995,3.7,2,1,0,1,1,1,2,50,1,46,7,15.2,5,26,15,3,0,0,3,1,3,1,0,2020,German
Timo Becker,de GER,DF,Schalke 04,1997,0.1,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,German
Brian Behrendt,de GER,DF,Arminia,1991,0.9,2,1,0,2,0,0,1,0,1,13,3,23.1,5,8,0,0,0,0,0,0,2,1,0,2020,German
Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,1992,1.7,1,0,1,0,0,0,0,,0,11,2,18.2,3,3,5,0,0,0,0,0,1,3,0,2020,German
Karim Bellarabi,de GER,"MF,FW",Leverkusen,1990,3.2,4,1,1,0,3,1,4,25,3,33,9,27.3,3,14,16,3,0,0,3,4,8,3,0,2020,German
Jude Bellingham,eng ENG,MF,Dortmund,2003,3.3,14,10,3,9,2,4,13,30.8,9,88,25,28.4,17,51,20,6,1,0,5,0,14,1,0,2020,German
Lars Bender,de GER,DF,Leverkusen,1989,4.4,8,5,6,2,0,3,9,33.3,6,44,16,36.4,17,23,4,13,3,0,10,1,9,17,0,2020,German
