player,nation,pos,squad,born,90s,gls,sh,sot,sot_perc,sh_per_90,sot_per_90,g_per_Sh,g_per_sot,dist,fk,pk,pk_att,year,league
Ahmed Elmohamady,eg EGY,DF,Aston Villa,1987,0.4,0,0,0,,0,0,,,,0,0,0,2020,English
Mohamed Elneny,eg EGY,MF,Arsenal,1992,4,0,2,0,0,0.5,0,0,,18,0,0,0,2020,English
Jonny Evans,nir NIR,DF,Leicester City,1988,3.9,0,0,0,,0,0,,,,0,0,0,2020,English
Eberechi Eze,eng ENG,MF,Crystal Palace,1998,2.6,0,5,1,20,1.95,0.39,0,0,14.5,0,0,0,2020,English
Łukasz Fabiański,pl POL,GK,West Ham,1985,7,0,0,0,,0,0,,,,0,0,0,2020,English
Fabinho,br BRA,"MF,DF",Liverpool,1993,5.4,0,2,0,0,0.37,0,0,,22.1,0,0,0,2020,English
Bruno Fernandes,pt POR,MF,Manchester Utd,1994,5.3,3,11,4,36.4,2.07,0.75,0.09,0.25,23.1,1,2,3,2020,English
Federico Fernández,ar ARG,DF,Newcastle Utd,1989,8,0,1,1,100,0.12,0.12,0,0,5.8,0,0,0,2020,English
Fernandinho,br BRA,MF,Manchester City,1985,1.7,0,4,1,25,2.31,0.58,0,0,18.5,0,0,0,2020,English
Sam Field,eng ENG,MF,West Brom,1998,0.7,0,0,0,,0,0,,,,0,0,0,2020,English
Roberto Firmino,br BRA,"FW,MF",Liverpool,1991,6.2,1,11,3,27.3,1.77,0.48,0.09,0.33,11.5,0,0,0,2020,English
John Fleck,sco SCO,MF,Sheffield Utd,1991,2,0,1,0,0,0.5,0,0,,18.6,0,0,0,2020,English
Phil Foden,eng ENG,"FW,DF",Manchester City,2000,4.3,2,11,5,45.5,2.56,1.17,0.18,0.4,15.7,0,0,0,2020,English
Wesley Fofana,fr FRA,DF,Leicester City,2000,3,0,0,0,,0,0,,,,0,0,0,2020,English
Pablo Fornals,es ESP,"MF,FW",West Ham,1996,6.5,2,12,5,41.7,1.83,0.76,0.17,0.4,13.9,0,0,0,2020,English
Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,1998,0.9,0,1,0,0,1.13,0,0,,28.4,0,0,0,2020,English
Ryan Fraser,sco SCO,MF,Newcastle Utd,1994,2.1,0,1,0,0,0.48,0,0,,36.5,0,0,0,2020,English
Fred,br BRA,MF,Manchester Utd,1993,3.2,0,4,0,0,1.24,0,0,,21.8,0,0,0,2020,English
Ryan Fredericks,eng ENG,DF,West Ham,1992,2.5,0,0,0,,0,0,,,,0,0,0,2020,English
Christian Fuchs,at AUT,DF,Leicester City,1986,2.1,0,0,0,,0,0,,,,0,0,0,2020,English
Darnell Furlong,eng ENG,DF,West Brom,1995,5.8,0,4,1,25,0.69,0.17,0,0,20.1,0,0,0,2020,English
Conor Gallagher,eng ENG,MF,West Brom,2000,3,0,2,0,0,0.67,0,0,,22.5,0,0,0,2020,English
Eric García,es ESP,DF,Manchester City,2001,2,0,1,0,0,0.5,0,0,,33,0,0,0,2020,English
David de Gea,es ESP,GK,Manchester Utd,1990,6,0,0,0,,0,0,,,,0,0,0,2020,English
Kieran Gibbs,eng ENG,"DF,MF",West Brom,1989,1.5,0,0,0,,0,0,,,,0,0,0,2020,English
Olivier Giroud,fr FRA,FW,Chelsea,1986,0.4,0,0,0,,0,0,,,,0,0,0,2020,English
Ben Godfrey,eng ENG,DF,Everton,1998,1.7,0,0,0,,0,0,,,,0,0,0,2020,English
André Gomes,pt POR,MF,Everton,1993,4,0,1,0,0,0.25,0,0,,15.5,0,0,0,2020,English
Joe Gomez,eng ENG,DF,Liverpool,1997,5.6,0,0,0,,0,0,,,,0,0,0,2020,English
Anthony Gordon,eng ENG,"MF,FW",Everton,2001,0.4,0,0,0,,0,0,,,,0,0,0,2020,English
Karlan Grant,eng ENG,FW,West Brom,1997,2.7,1,4,2,50,1.47,0.73,0.25,0.5,12.9,0,0,0,2020,English
Jack Grealish,eng ENG,FW,Aston Villa,1995,6,4,17,6,35.3,2.83,1,0.24,0.67,14.5,0,0,0,2020,English
Mason Greenwood,eng ENG,FW,Manchester Utd,2001,3.1,0,8,2,25,2.61,0.65,0,0,18.9,0,0,0,2020,English
Pascal Groß,de GER,MF,Brighton,1991,2.8,0,5,1,20,1.76,0.35,0,0,17.7,0,0,0,2020,English
Vicente Guaita,es ESP,GK,Crystal Palace,1987,7,0,0,0,,0,0,,,,0,0,0,2020,English
İlkay Gündoğan,de GER,MF,Manchester City,1990,1.4,0,2,0,0,1.48,0,0,,16.1,0,0,0,2020,English
Sébastien Haller,fr FRA,FW,West Ham,1994,1.4,1,3,2,66.7,2.11,1.41,0.33,0.5,7.5,0,0,0,2020,English
Rekeem Harper,eng ENG,"MF,DF",West Brom,2000,0.2,0,0,0,,0,0,,,,0,0,0,2020,English
Jack Harrison,eng ENG,"MF,DF",Leeds United,1996,5.9,1,7,2,28.6,1.19,0.34,0.14,0.5,18.3,1,0,0,2020,English
Kai Havertz,de GER,"MF,FW",Chelsea,1999,6.1,1,7,4,57.1,1.15,0.65,0.14,0.25,15.5,0,0,0,2020,English
Isaac Hayden,eng ENG,"MF,DF",Newcastle Utd,1995,4.6,0,2,1,50,0.43,0.22,0,0,27.4,0,0,0,2020,English
